  01/01/1928,        NA,        NA_2,57,-144,through the gulf of alaska,           gulf of alaska,h,i,j
  31/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  01/04/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  01/04/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  02/04/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  02/04/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  03/04/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  03/04/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  04/04/1928,,,,,,,,,
  04/04/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  05/04/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  05/04/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  06/04/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  06/04/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  07/04/1928,,,47.6,-122.5,      out of eagle harbor,                  winslow,,,
  07/04/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  08/04/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  08/04/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  09/04/1928,,,,,,,,,
  09/04/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  10/04/1928,,,22.4,114.2,               seattle wn,                  seattle,,,
  10/04/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  11/04/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  11/04/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  12/04/1928,,,22.4,-122.8,down puget sound and admiralty inlet,              tolo harbor,admiralty inlet,48 09 44.44N,122 43 28.55W
  12/04/1928,,,50.4,-125.6,      off ripple point bc,             ripple point,,,
  13/04/1928,,,50.5,-125.6,through queen charlotte strait,              atka island,queen charlotte strait,50 53 50N,127 21 11W
  13/04/1928,,,32,120.4,       off cone island bc,              rose island,hecate strait,53 11N,130 50W
  14/04/1928,,,52.1,-128.1,out mcloughlin bay and main passage,           mcloughlin bay,,,
  14/04/1928,,,51.4,32.6,               port bazan,                  chatham,dall island,54 57 22N,133 03 33W
  15/04/1928,,,55.4,-131.8,stood in for port bazan anchorage,           dixon entrance,dall island,,
  15/04/1928,,,29.9,32.6,        port bazan alaska,                   port t,dall island,,
  16/04/1928,,,55,114.2,   stood in steamboat bay,                     tolo,noyes island,55 29 51N,133 40 16W
  16/04/1928,,,15.5,73.9,     steamboat bay alaska,                      goa,noyes island,,
  17/04/1928,,,29.9,32.6,        off wooden island,            wooded island,port alexander alaska,56 14 24N,134 39 26W
  17/04/1928,   57 19 N,  135 25 W,29.9,32.6,             sitka alaska,                   port t,sitka alaska,,
  18/04/1928,,,57,-135.4,       off baranof island,                    sitka,,,
  18/04/1928,,,-8.7,-135.4,             sitka alaska,                    sitka,,,
  19/04/1928,,,57,-135.4,up cross sound north inian passage and icy strait,                    sitka,icy strait,58 16 41N,135 38 48W
  19/04/1928,,,-22.3,166.4,        lynn canal alaska,                    nunea,lynn canal,58 41 31N,135 05 51W
  20/04/1928,,,52.8,173.3,through stephens passage and gastineau channel,             east channel,stephens passage,,
  20/04/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  21/04/1928,,,,,,,,,
  21/04/1928,,,,,,,,,
  21/04/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  21/04/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
