  01/01/1877,        NA,        NA_2,56.2,-3,     at sea north pacific,                    forth,north pacific,i,j
  17/07/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/07/1877,   36 13 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  19/07/1877,   33 27 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  20/07/1877,   31 22 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  21/07/1877,     29 28,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  22/07/1877,     28 02,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  23/07/1877,   26 54 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  24/07/1877,   26 16 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  25/07/1877,   25 40 N,,,,,,,,
  26/07/1877,   25 07 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  27/07/1877,   24 40 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  28/07/1877,   24 03 S,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  29/07/1877,   23 31 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  30/07/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  31/07/1877,   22 37 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  01/08/1877,   22 11 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  02/08/1877,   21 39 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  03/08/1877,   21 01 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  04/08/1877,   20 22 N,,,,,,,,
  05/08/1877,   19 56 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  06/08/1877,   19 51 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  07/08/1877,   20 04 N,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  08/08/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  09/08/1877,,,22.4,114.2,           hilo harbor hi,              tolo harbor,hilo hawaii,19 42 20N,2017-09-05T01:55:00
  10/08/1877,,,22.5,69.1,                  hilo hi,                     okha,hilo hawaii,,
  11/08/1877,,,,,,,,,
  12/08/1877,,,,,                  hilo hi,,,,
  13/08/1877,,,,,                  hilo hi,,,,
  14/08/1877,,,,,                  hilo hi,,,,
  15/08/1877,,,,,,,,,
  16/08/1877,,,,,,,,,
  17/08/1877,,,,,,,,,
  18/08/1877,     18 08,,,,                  hilo hi,,,,
  19/08/1877,,,,,,,,,
  20/08/1877,,,,,,,,,
  21/08/1877,,,,,,,,,
  22/08/1877,,,,,,,,,
   23/8/1877,,,,,,,,,
  24/08/1877,,,,,,,,,
  25/08/1877,,,,,,,,,
  26/08/1877,,,,,,,,,
  27/08/1877,,,,,,,,,
  28/08/1877,   19 24 N,,,,,,,,
  29/08/1877,,,,,,,,,
  30/08/1877,,,,,,,,,
  31/08/1877,,,21.5,109.1,     at anchor off lahina,                    china,lahaina hawaii,20 53 10N,2018-01-23T01:56:00
  01/09/1877,,,,,,,,,
  02/09/1877,,,,,,,,,
  03/09/1877,,,,,,,,,
  04/09/1877,,,32.8,35,         lahaina mauii hi,                    haifa,lahaina hawaii,,
  05/09/1877,,,32.8,35,         lahaina mauii hi,                    haifa,lahaina hawaii,,
  06/09/1877,,,32.8,35,         lahaina mauii hi,                    haifa,lahaina hawaii,,
  07/09/1877,,,32.8,35,         lahaina mauii hi,                    haifa,lahaina hawaii,,
  08/09/1877,,,32.8,35,         lahaina mauii hi,                    haifa,lahaina hawaii,,
  09/09/1877,,,32.8,35,         lahaina mauii hi,                    haifa,lahaina hawaii,,
  10/09/1877,,,32.8,35,         lahaina mauii hi,                    haifa,lahaina hawaii,,
  11/09/1877,,,32.8,35,         lahaina mauii hi,                    haifa,lahaina hawaii,,
  12/09/1877,,,21.3,-157.9,from lahaina to honolulu hi,                 honolulu,,,
  13/09/1877,     13 09,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  14/09/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  15/09/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  16/09/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
