          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  28/03/1898,,,37,-76.3,at anchor hampton roads va,            hampton roads,,,
  28/03/1898,,,,,,,,,
  28/03/1898,,,37,-76.3,at anchor hampton roads va,            hampton roads,,,
  29/03/1898,,,,,,,,,
  29/03/1898,,,37,-76.3,at anchor hampton roads va,            hampton roads,,,
  30/03/1898,,,,,,,,,
  30/03/1898,,,37,-76.3,at anchor hampton roads va,            hampton roads,,,
  31/03/1898,,,,,,,,,
  31/03/1898,,,37,-76.3,at anchor hampton roads and moored alongside seawall navy yard portsmouth,            hampton roads,,,
  01/04/1898,,,,,,,,,
  01/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  02/04/1898,,,,,,,,,
  02/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  04/04/1898,,,,,,,,,
  04/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  05/04/1898,,,,,,,,,
  05/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  06/04/1898,,,,,,,,,
  06/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  07/04/1898,,,,,,,,,
  07/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  08/04/1898,,,,,,,,,
  08/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  09/04/1898,,,50.8,-1.1,           portsmouth  va,           portsmouth d 4,portsmouth virginia,36.832994N,0002-06-19
  09/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  10/04/1898,,,,,,,,,
  10/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  11/04/1898,,,,,,,,,
  11/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  12/04/1898,,,,,,,,,
  12/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  13/04/1898,,,,,,,,,
  13/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  14/04/1898,,,,,,,,,
  14/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  15/04/1898,,,,,,,,,
  15/04/1898,,,36.8,-76.3,moored alongside ordnance dock navy yard portsmouth va,            portsmouth va,,,
  16/04/1898,,,,,,,,,
  16/04/1898,,,36.8,-76.3,moored alongside seawall navy yard portsmouth va,            portsmouth va,,,
  17/04/1898,,,,,,,,,
  17/04/1898,,,36.8,-76.3,moored alongside ordnance dock navy yard portsmouth va,            portsmouth va,,,
  18/04/1898,,,,,,,,,
  18/04/1898,,,-43,147.8,anchored off naval hospital norfolk va,              norfolk bay,norfolk virginia,36 55N,0001-03-26
  19/04/1898,,,,,,,,,
